id,citations_wos,citations_all,open_access,year,language
WOS:000463389200001,38,42,,2020,English
WOS:000467089500001,98,111,,2020,English
WOS:000467105900001,12,12,"Green Accepted, Green Submitted",2020,English
WOS:000467108000001,7,7,,2020,English
WOS:000468848800001,5,6,Green Submitted,2020,English
WOS:000469665200001,25,26,,2020,English
WOS:000469722500001,21,25,,2020,English
WOS:000469731000001,20,22,,2020,English
WOS:000470447800001,7,7,Green Submitted,2020,English
WOS:000470541700001,5,5,,2020,English
WOS:000470589500001,14,19,"hybrid, Green Published",2020,English
WOS:000471374100001,41,49,,2020,English
WOS:000471384000001,20,20,"hybrid, Green Submitted",2020,English
WOS:000471410900001,6,9,,2020,English
WOS:000471476900001,51,53,"Green Published, hybrid, Green Accepted",2020,English
WOS:000471493800001,1,1,Green Accepted,2020,English
WOS:000474006700001,4,4,,2021,English
WOS:000474064900001,10,10,hybrid,2020,English
WOS:000474950600001,14,15,,2020,English
WOS:000475069100001,11,11,Green Accepted,2021,English
WOS:000475234700001,18,22,Green Accepted,2020,English
WOS:000476026200001,27,29,,2020,English
WOS:000476144400001,7,8,,2020,English
WOS:000476168700001,2,2,,2020,English
WOS:000476177000001,10,10,Green Published,2020,English
WOS:000476293100001,8,8,,2021,English
WOS:000476295400001,0,0,,2020,English
WOS:000476381800001,28,30,,2020,English
WOS:000476383000001,7,10,Green Published,2020,English
WOS:000476452300001,1,1,Bronze,2020,English
WOS:000476683200001,1,1,,2020,English
WOS:000477087200001,13,13,,2021,English
WOS:000477112400001,11,12,,2020,English
WOS:000477260200001,3,3,,2020,English
WOS:000477315900001,37,44,Green Submitted,2020,English
WOS:000477316900001,9,11,,2020,English
WOS:000477323200001,7,8,,2021,English
WOS:000477323900001,14,14,,2020,English
WOS:000477325100001,2,3,,2021,English
WOS:000477336400001,11,11,"Green Published, Green Submitted",2021,English
WOS:000477450100001,12,13,Green Submitted,2020,English
WOS:000477465500001,29,31,Green Submitted,2020,English
WOS:000478140000001,9,9,,2020,English
WOS:000478164100001,8,11,,2020,English
WOS:000478237100001,15,16,"Bronze, Green Accepted",2020,English
WOS:000478391200001,6,10,,2020,English
WOS:000478466700001,10,10,,2020,English
WOS:000478475500001,12,14,,2020,English
WOS:000478509600001,32,36,,2021,English
WOS:000478510700001,44,50,,2021,English
WOS:000478511600001,6,8,,2021,English
WOS:000478521100001,30,39,,2021,English
WOS:000478525700001,5,5,Green Submitted,2021,English
WOS:000478539100001,15,20,Green Accepted,2020,English
WOS:000478539900001,30,32,"Green Submitted, Green Accepted",2020,English
WOS:000479158900001,14,14,,2020,English
WOS:000479378700001,3,3,,2021,English
WOS:000479380300001,0,0,,2021,English
WOS:000479428700001,9,10,,2020,English
WOS:000479432700001,4,4,,2021,English
WOS:000479433900001,9,9,"Green Published, hybrid",2021,English
WOS:000479636300001,14,18,,2020,English
WOS:000479669200001,5,7,hybrid,2020,English
WOS:000479971200001,39,39,Bronze,2020,English
WOS:000479977900001,26,27,,2020,English
WOS:000479985000001,56,62,"Green Published, hybrid",2021,English
WOS:000480031500001,3,3,,2020,English
WOS:000480053700001,57,61,,2021,English
WOS:000480075200001,53,60,,2020,English
WOS:000480193700001,8,9,Green Submitted,2020,English
WOS:000480194100001,41,43,,2020,English
WOS:000480207400001,36,43,,2020,English
WOS:000480871700001,1,1,,2021,English
WOS:000480955400001,37,44,,2020,English
WOS:000480989500001,2,2,,2021,English
WOS:000480990700001,3,3,Green Submitted,2021,English
WOS:000481023900001,23,23,,2021,English
WOS:000481174700001,17,18,,2020,English
WOS:000481199600001,48,55,Green Accepted,2020,English
WOS:000481312600001,11,13,Green Accepted,2020,English
WOS:000481438100001,10,10,,2020,English
WOS:000481491600001,51,117,,2020,English
WOS:000481593100001,69,75,"hybrid, Green Published",2020,English
WOS:000481674200001,4,5,,2020,English
WOS:000481674600001,16,17,Green Accepted,2020,English
WOS:000481779700001,33,36,,2020,English
WOS:000482651400001,11,11,hybrid,2020,English
WOS:000482807700001,4,4,,2020,English
WOS:000482856100001,6,6,Green Accepted,2020,English
WOS:000483160300001,4,5,,2020,English
WOS:000483161500001,11,11,,2020,English
WOS:000483200000001,27,34,Green Published,2021,English
WOS:000483200100001,3,8,Green Submitted,2021,English
WOS:000483245400001,10,12,,2020,English
WOS:000483320100001,18,19,,2020,English
WOS:000483320300001,2,2,,2020,English
WOS:000483320800001,5,6,,2020,English
WOS:000483380200001,31,36,,2020,English
WOS:000483380700001,8,8,,2020,English
WOS:000483411100001,10,16,,2021,English
WOS:000483419300001,20,23,Green Accepted,2020,English
WOS:000483479700001,4,5,,2020,English
WOS:000483481300001,8,11,,2020,English
WOS:000483608000001,3,3,,2020,English
WOS:000483609100001,161,175,"Green Accepted, Bronze",2020,English
WOS:000483638500001,33,39,"Bronze, Green Submitted",2020,English
WOS:000483681800001,3,4,,2020,English
WOS:000483979100001,7,8,,2020,English
WOS:000484077500001,1,1,,2020,English
WOS:000484078400001,4,4,,2020,English
WOS:000484178500001,12,13,"Green Accepted, Green Submitted",2020,English
WOS:000484224400001,21,21,,2020,English
WOS:000484334900001,3,4,Green Accepted,2020,English
WOS:000484372200001,15,17,,2020,English
WOS:000484377000001,12,12,Green Published,2021,English
WOS:000484378900001,6,6,,2020,English
WOS:000484485600001,36,37,,2020,English
WOS:000484594300001,44,52,,2020,English
WOS:000484598300001,16,17,,2020,English
WOS:000484749900001,13,13,Green Published,2020,English
WOS:000484804200001,30,34,"Green Submitted, Green Accepted",2020,English
WOS:000484804600001,27,28,hybrid,2020,English
WOS:000484910300001,25,26,,2020,English
WOS:000485051600001,11,11,Green Submitted,2020,English
WOS:000485082000001,10,11,,2020,English
WOS:000485083200001,37,43,,2021,English
WOS:000485083400001,15,19,,2021,English
WOS:000485296400001,7,8,,2020,English
WOS:000485356600001,16,16,,2020,English
WOS:000485370600001,7,7,,2020,English
WOS:000485408400001,9,11,Green Accepted,2020,English
WOS:000485413500001,5,6,Green Accepted,2020,English
WOS:000485442500001,4,6,,2021,English
WOS:000485625400001,17,17,,2021,English
WOS:000485762500001,11,11,Bronze,2020,English
WOS:000485762900001,15,15,,2020,English
WOS:000485763200001,2,2,,2020,English
WOS:000485763700001,5,8,,2020,English
WOS:000486086800001,7,8,,2020,English
WOS:000486087200001,7,7,Green Submitted,2021,English
